COD_MUNICIPIO,NOME_MUNICIPIO,MEDIA_SOMA_NOTA_CH,MEDIA_SOMA_NOTA_CN,MEDIA_SOMA_NOTA_LC,MEDIA_SOMA_NOTA_MT,MEDIA_SOMA_INSE_VALOR_ABSOLUTO
4102505,Barbosa Ferraz,594.5,449.4,545.6,625.1,4.75
4102752,Bela Vista da Caroba,,,,,4.92
4103024,Boa Esperança do Iguaçu,450.7,472.5,463.1,543.7,5.25
4103057,Boa Vista da Aparecida,557.3,540.6,540.8,535.3,4.98
4103354,Braganey,474.0,548.53,524.15,551.05,5.08
4103453,Cafelândia,525.5,389.1,531.2,519.3,5.28
4103602,Cambará,584.23,536.2,572.1,611.7,5.17
4103701,Cambé,541.01,515.12,541.72,583.89,5.35
4104006,Campina Grande do Sul,505.28,484.24,540.45,565.76,5.11
4104204,Campo Largo,579.69,549.95,571.83,623.14,5.31
4104303,Campo Mourão,583.89,556.91,579.27,632.43,5.24
4104501,Capanema,397.9,349.9,432.2,361.5,5.34
4104600,Capitão Leônidas Marques,480.59,418.39,517.18,469.74,5.13
4104659,Carambeí,532.2,537.5,574.4,549.4,5.16
4104808,Cascavel,567.12,555.32,566.71,635.87,5.38
4104907,Castro,558.91,544.54,549.26,611.98,5.12
4105409,Chopinzinho,494.0,371.3,522.8,394.2,5.17
4105508,Cianorte,576.67,565.38,578.0,673.1,5.31
4105805,Colombo,550.19,544.71,566.48,616.06,5.38
4105904,Colorado,445.3,396.3,471.4,438.2,5.2
4106308,Corbélia,334.5,496.4,562.1,533.9,5.26
4106407,Cornélio Procópio,565.58,541.16,575.45,638.66,5.32
4106902,Curitiba,593.39,574.66,582.14,668.62,5.52
4107207,Dois Vizinhos,549.45,516.88,563.33,650.04,5.32
4107603,Faxinal,612.95,560.98,602.97,699.4,4.95
4107652,Fazenda Rio Grande,489.76,546.62,489.81,608.04,5.27
4108304,Foz do Iguaçu,570.5,556.45,568.08,640.97,5.29
4108403,Francisco Beltrão,557.4,557.99,554.76,633.19,5.36
4108601,Goioerê,547.05,537.98,557.65,665.19,5.2
4108809,Guaíra,567.13,473.87,550.78,624.13,5.04
4108957,Guamiranga,576.0,514.4,524.1,438.6,4.91
4109005,Guapirama,,,,,5.03
4109401,Guarapuava,569.15,555.12,566.99,607.3,5.12
4109609,Guaratuba,539.67,545.51,563.39,622.11,5.1
4109708,Ibaiti,582.9,589.85,596.5,649.65,5.02
4109757,Ibema,597.6,474.0,595.8,511.6,4.73
4109807,Ibiporã,554.35,529.42,552.72,608.02,5.32
4110102,Imbituva,540.3,508.3,379.4,475.2,5.07
4110607,Iporã,514.1,518.5,519.2,379.7,4.96
4110706,Irati,507.35,485.8,522.37,551.5,5.21
4111258,Itaperuçu,548.8,457.73,571.97,598.8,4.88
4111506,Ivaiporã,543.83,527.76,552.99,581.05,5.2
4111555,Ivaté,456.0,408.7,418.6,440.0,4.94
4111605,Ivatuba,523.55,490.04,541.36,549.28,5.32
4111803,Jacarezinho,565.83,548.86,582.1,599.06,5.08
4111902,Jaguapitã,397.1,,427.6,,5.16
4112009,Jaguariaíva,572.35,520.5,561.62,619.32,5.05
4112108,Jandaia do Sul,441.12,454.15,475.96,493.23,5.22
4112751,Jesuítas,397.9,393.3,460.1,506.9,5.08
4113205,Lapa,,,,,5.21
4113304,Laranjeiras do Sul,565.95,563.27,575.5,705.77,5.14
4113502,Loanda,505.73,486.55,503.37,540.7,5.11
4113700,Londrina,586.37,568.69,576.86,660.35,5.37
4113734,Luiziana,,,,,4.96
4113809,Lupionópolis,519.5,556.9,553.4,564.4,5.03
4114104,Mandaguaçu,515.53,516.03,538.73,590.64,5.24
4114203,Mandaguari,378.87,460.4,460.97,520.5,5.26
4114609,Marechal Cândido Rondon,566.29,549.3,563.22,650.88,5.35
4114807,Marialva,515.22,537.47,530.47,608.2,5.24
4115200,Maringá,580.08,564.66,575.71,647.45,5.5
4115606,Matelândia,608.7,649.9,603.6,728.8,5.16
4115705,Matinhos,488.1,479.25,499.35,403.75,5.27
4115804,Medianeira,522.05,469.05,492.1,459.45,5.35
4116208,Morretes,675.8,598.5,700.3,632.4,5.07
4116604,Nova América da Colina,475.1,431.5,491.1,396.2,5.11
4116901,Nova Esperança,639.8,579.4,600.3,632.6,5.14
4117305,Ortigueira,479.4,451.3,540.1,565.7,4.73
4117602,Palmas,595.87,549.18,578.79,635.92,5.0
4117701,Palmeira,568.47,515.18,555.32,652.23,5.27
4117909,Palotina,601.19,556.64,586.19,674.57,5.31
4118105,Paranacity,445.3,438.4,462.6,386.7,5.1
4118204,Paranaguá,538.65,523.01,556.15,579.23,5.14
4118402,Paranavaí,538.45,526.14,548.68,592.45,5.25
4118501,Pato Branco,579.47,566.15,579.19,670.35,5.34
4119152,Pinhais,551.76,509.39,553.95,576.52,5.44
4119301,Pinhão,448.6,461.5,519.7,543.1,4.62
4119400,Piraí do Sul,595.9,511.45,575.0,513.45,5.09
4119509,Piraquara,565.6,470.7,566.9,543.1,5.26
4119608,Pitanga,514.24,494.37,516.58,574.5,4.93
4119806,Planalto,542.1,361.1,486.2,465.2,5.24
4119905,Ponta Grossa,597.15,576.72,577.54,654.72,5.23
4119954,Pontal do Paraná,573.03,529.8,550.57,536.1,5.27
4120002,Porecatu,564.65,555.25,558.62,629.22,5.17
4120606,Prudentópolis,588.54,541.38,579.67,678.48,4.89
4120804,Quatro Barras,563.42,533.4,569.8,611.17,5.38
4120853,Quatro Pontes,,,,,5.6
4120903,Quedas do Iguaçu,638.7,619.0,587.1,768.0,5.01
4121406,Realeza,602.0,584.5,601.1,710.35,5.32
4121901,Ribeirão do Pinhal,545.6,565.4,529.5,653.7,4.99
4122206,Rio Branco do Sul,415.5,368.8,515.2,404.7,5.0
4122305,Rio Negro,581.96,536.04,572.33,623.98,5.26
4122404,Rolândia,572.94,566.84,572.86,645.62,5.26
4122602,Rondon,571.9,501.5,566.2,424.5,5.15
4123907,Santa Mariana,447.9,,517.4,,5.05
4124053,Santa Terezinha de Itaipu,569.87,535.77,579.73,591.53,5.28
4124103,Santo Antônio da Platina,536.75,525.56,554.31,605.99,5.04
4125001,São João do Ivaí,403.4,344.3,439.4,426.1,4.92
4125506,São José dos Pinhais,574.48,541.24,574.27,621.57,5.42
4125605,São Mateus do Sul,557.32,558.78,549.98,628.23,5.08
4125704,São Miguel do Iguaçu,533.97,538.03,526.41,640.53,5.14
4126256,Sarandi,566.53,501.23,551.8,593.2,5.22
4126504,Sertanópolis,510.69,487.48,541.66,588.46,5.2
4127007,Teixeira Soares,,,,,5.13
4127106,Telêmaco Borba,536.19,501.12,555.4,540.97,5.16
4127205,Terra Boa,457.0,348.0,508.5,399.4,5.2
4127304,Terra Rica,515.35,563.25,508.8,583.95,5.04
4127502,Tibagi,549.8,546.2,584.7,487.2,4.98
4127601,Tijucas do Sul,525.2,455.4,528.5,437.3,5.22
4127700,Toledo,578.05,564.74,571.89,653.47,5.46
4127809,Tomazina,621.13,581.4,587.9,674.17,4.9
4128005,Ubiratã,479.5,462.4,544.6,554.7,5.23
4128104,Umuarama,572.36,550.42,570.79,635.7,5.34
4128203,União da Vitória,509.93,473.94,543.36,563.36,5.15
4128500,Wenceslau Braz,586.2,566.36,567.42,670.06,4.9
4128708,Vitorino,502.3,403.6,518.4,582.5,5.27
4200101,Abelardo Luz,455.1,487.1,441.3,399.2,5.03
4200804,Anchieta,583.9,540.0,569.0,537.9,5.2
4201000,Anita Garibaldi,371.8,399.3,427.9,359.8,5.12
4201208,Antônio Carlos,536.4,539.5,538.8,544.2,6.02
4201307,Araquari,562.97,553.47,561.26,646.96,5.41
4201406,Araranguá,586.79,571.29,569.04,664.5,5.32
4201703,Ascurra,,,,,5.38
4202008,Balneário Camboriú,595.24,564.23,580.37,661.32,5.45
4202305,Biguaçu,538.42,491.28,544.0,585.96,5.37
4202404,Blumenau,590.23,568.08,581.42,670.24,5.54
4202453,Bombinhas,415.5,392.9,472.4,518.1,5.49
4202800,Braço do Norte,475.7,419.83,505.57,463.27,5.49
4202909,Brusque,596.86,568.24,577.43,667.59,5.55
4203006,Caçador,610.3,567.35,593.69,680.83,5.25
4203204,Camboriú,564.64,542.4,574.34,602.41,5.31
4203600,Campos Novos,572.95,505.75,565.75,600.6,5.41
4203709,Canelinha,569.16,517.94,562.26,623.74,5.24
4203808,Canoinhas,605.7,555.7,581.3,515.1,5.17
4203956,Capivari de Baixo,552.1,387.7,543.8,404.2,5.51
