COD_MUNICIPIO,NOME_MUNICIPIO,MEDIA_SOMA_NOTA_CH,MEDIA_SOMA_NOTA_CN,MEDIA_SOMA_NOTA_LC,MEDIA_SOMA_NOTA_MT,MEDIA_SOMA_INSE_VALOR_ABSOLUTO
3500501,Águas de Lindóia,503.96,473.63,526.85,528.66,5.48
3500550,Águas de Santa Bárbara,506.64,442.43,523.05,498.51,5.43
3500600,Águas de São Pedro,511.52,485.82,524.22,513.03,5.74
3500709,Agudos,505.67,467.98,521.94,509.76,5.24
3500758,Alambari,498.94,467.1,514.51,488.24,5.12
3500808,Alfredo Marcondes,478.52,447.05,495.8,526.23,5.32
3500907,Altair,472.07,472.82,494.86,513.45,5.13
3501004,Altinópolis,475.93,454.4,500.65,492.84,5.29
3501103,Alto Alegre,489.02,458.76,489.4,494.18,5.2
3501152,Alumínio,518.44,477.66,536.46,548.97,5.24
3501202,Álvares Florence,501.02,438.26,494.7,475.88,5.38
3501301,Álvares Machado,497.22,473.59,509.35,529.17,5.28
3501400,Álvaro de Carvalho,470.05,457.6,493.4,466.75,5.04
3501509,Alvinlândia,494.98,483.53,508.43,472.14,5.05
3501608,Americana,538.31,510.99,547.47,577.72,5.46
3501707,Américo Brasiliense,475.28,443.52,505.81,493.83,5.21
3501806,Américo de Campos,484.62,444.92,499.29,513.17,5.29
3501905,Amparo,542.18,516.15,549.26,579.82,5.36
3502002,Analândia,427.06,472.47,435.07,497.62,5.19
3502101,Andradina,494.33,479.69,511.95,525.15,5.22
3502200,Angatuba,509.85,470.96,527.77,511.22,5.23
3502309,Anhembi,464.83,435.82,493.34,453.88,5.21
3502408,Anhumas,467.1,447.51,503.32,541.1,5.09
3502507,Aparecida,497.2,467.87,514.0,524.58,5.16
3502606,Aparecida d'Oeste,478.43,458.9,495.0,510.13,5.25
3502705,Apiaí,507.26,472.66,520.49,503.5,4.82
3502754,Araçariguama,512.06,457.52,529.15,508.67,5.18
3502804,Araçatuba,521.39,492.64,534.43,549.93,5.32
3502903,Araçoiaba da Serra,491.44,452.29,507.72,498.08,5.32
3503000,Aramina,455.41,477.36,503.43,493.79,5.15
3503109,Arandu,471.84,472.67,499.87,542.21,5.15
3503158,Arapeí,526.63,451.24,532.63,507.53,4.85
3503208,Araraquara,539.2,510.96,548.7,569.04,5.4
3503307,Araras,524.87,499.3,536.64,566.23,5.44
3503356,Arco-Íris,431.9,360.9,511.0,426.8,5.22
3503406,Arealva,515.51,472.54,532.14,512.85,5.27
3503505,Areias,523.73,486.58,526.64,492.99,4.89
3503604,Areiópolis,469.13,426.82,490.81,450.33,5.17
3503703,Ariranha,517.28,472.85,527.27,543.62,5.39
3503802,Artur Nogueira,491.12,458.99,517.91,506.98,5.28
3503901,Arujá,507.77,472.59,528.38,526.27,5.31
3503950,Aspásia,515.58,454.28,497.16,493.36,5.3
3504008,Assis,527.71,494.47,538.25,563.38,5.4
3504107,Atibaia,536.88,513.99,546.37,582.12,5.31
3504206,Auriflama,506.39,482.77,519.11,532.83,5.18
3504305,Avaí,517.5,450.6,513.61,471.03,5.1
3504404,Avanhandava,487.62,499.48,503.29,513.45,4.95
3504503,Avaré,522.9,500.09,533.48,566.24,5.32
3504602,Bady Bassitt,494.81,474.45,522.94,533.13,5.52
3504701,Balbinos,433.94,412.2,479.47,484.61,5.22
3504800,Bálsamo,460.69,468.52,488.21,538.79,5.38
3504909,Bananal,447.5,439.02,502.69,505.72,4.84
